#TYPE AzureOperation
"ProviderNamespace","ProviderName","Operation","OperationName","ResourceName","Description","IsDataAction"
"",,"",,,"### NOTE ### 
The data contained herein was gathered on 22-Sep-2022.","False"
"-","CloudSimple.PrivateCloudIaaS","","** No operations discovered **","","Provider name discovered via Get-AzProviderFeatures","False"
"Dell.Storage","Dell.Storage","Dell.Storage/checkNameAvailability/action","Check Name Availability","","Checks if a Dell.Storage resource name is available","False"
"Dell.Storage","Dell.Storage","Dell.Storage/filesystems/delete","Filesystems_Delete","filesystems","Delete a DellResource","False"
"Dell.Storage","Dell.Storage","Dell.Storage/filesystems/read","Filesystems_Get","filesystems","Get a DellResource","False"
"Dell.Storage","Dell.Storage","Dell.Storage/filesystems/read","Filesystems_ListByResourceGroup","filesystems","List DellResource resources by resource group","False"
"Dell.Storage","Dell.Storage","Dell.Storage/filesystems/read","Filesystems_ListBySubscription","filesystems","List DellResource resources by subscription ID","False"
"Dell.Storage","Dell.Storage","Dell.Storage/filesystems/write","Filesystems_CreateOrUpdate","filesystems","Create a DellResource","False"
"Dell.Storage","Dell.Storage","Dell.Storage/filesystems/write","Filesystems_Update","filesystems","Update a DellResource","False"
"Dell.Storage","Dell.Storage","Dell.Storage/locations/operationStatuses/read","read_operationStatuses","locations/operationStatuses","read operationStatuses","False"
"Dell.Storage","Dell.Storage","Dell.Storage/locations/operationStatuses/write","write_operationStatuses","locations/operationStatuses","write operationStatuses","False"
"Dell.Storage","Dell.Storage","Dell.Storage/locations/read","Get locations","Locations","Get locations","False"
"Dell.Storage","Dell.Storage","Dell.Storage/operations/read","read_operations","operations","read operations","False"
"Dell.Storage","Dell.Storage","Dell.Storage/register/action","Register the Dell.Storage","","Register the subscription for Dell.Storage","False"
"Dell.Storage","Dell.Storage","Dell.Storage/registeredSubscriptions/read","Get registered subscriptions","RegisteredSubscriptions","Get registered subscription details","False"
"Dell.Storage","Dell.Storage","Dell.Storage/unregister/action","Unregister the Dell.Storage","","Unregister the subscription for Dell.Storage","False"
"Dynatrace.Observability","Dynatrace.Observability","Dynatrace.Observability/checkNameAvailability/action","Check Name Availability","","Checks if Dynatrace resource name is available","False"
"Dynatrace.Observability","Dynatrace.Observability","Dynatrace.Observability/locations/operationStatuses/read","Get operation statuses","OperationStatuses","Get operation statuses","False"
"Dynatrace.Observability","Dynatrace.Observability","Dynatrace.Observability/locations/operationStatuses/write","Write operation statuses","OperationStatuses","Write operation statuses","False"
"Dynatrace.Observability","Dynatrace.Observability","Dynatrace.Observability/locations/read","Get locations","Locations","Get locations","False"
"Dynatrace.Observability","Dynatrace.Observability","Dynatrace.Observability/monitors/delete","Delete monitor resources","Monitors","Delete monitors","False"
"Dynatrace.Observability","Dynatrace.Observability","Dynatrace.Observability/monitors/getSSODetails/action","Get SSO Details","Monitors","Gets SSO details from the dynatrace partner","False"
"Dynatrace.Observability","Dynatrace.Observability","Dynatrace.Observability/monitors/getVMHostPayload/action","Payload for VM Host","Monitors","The payload to be sent for installing Dynatrace agent on VM","False"
"Dynatrace.Observability","Dynatrace.Observability","Dynatrace.Observability/monitors/listAppServices/action","List App services","Monitors","List all the app services that have dynatrace agent installed","False"
"Dynatrace.Observability","Dynatrace.Observability","Dynatrace.Observability/monitors/listHosts/action","List VM Hosts","Monitors","List all VMs that are sending compute logs for a monitor","False"
"Dynatrace.Observability","Dynatrace.Observability","Dynatrace.Observability/monitors/listLinkableEnvironments/action","Lists Linkable Environment","Monitors","Lists all the linkable environment for a particular region","False"
"Dynatrace.Observability","Dynatrace.Observability","Dynatrace.Observability/monitors/listMonitoredResources/action","List monitored resources","Monitors","List all resources that are being monitored by the monitor resource","False"
"Dynatrace.Observability","Dynatrace.Observability","Dynatrace.Observability/monitors/read","Get/List monitor resources","Monitors","Read monitors","False"
"Dynatrace.Observability","Dynatrace.Observability","Dynatrace.Observability/monitors/singleSignOnConfigurations/read","Get the single sign-on configurations resource","SingleSignOnConfigurations","Reads the single-sign-on configurations","False"
"Dynatrace.Observability","Dynatrace.Observability","Dynatrace.Observability/monitors/singleSignOnConfigurations/write","Create/Update single sign-on configurations resource","SingleSignOnConfigurations","Writes the single sign-on configuration","False"
"Dynatrace.Observability","Dynatrace.Observability","Dynatrace.Observability/monitors/tagRules/read","Get tag rules resource","TagRules","Read tag rules","False"
"Dynatrace.Observability","Dynatrace.Observability","Dynatrace.Observability/monitors/tagRules/write","Create/Update tag rules resource","TagRules","Write tag rules","False"
"Dynatrace.Observability","Dynatrace.Observability","Dynatrace.Observability/monitors/write","Create/Update monitor resources","Monitors","Write monitors","False"
"Dynatrace.Observability","Dynatrace.Observability","Dynatrace.Observability/operations/read","List available Operations in Dynatrace.Observability","operations","List available Operations in Dynatrace.Observability","False"
"Dynatrace.Observability","Dynatrace.Observability","Dynatrace.Observability/register/action","Registers Dynatrace.Observability Resource provider","","Registers Dynatrace.Observability Resource provider","False"
"Dynatrace.Observability","Dynatrace.Observability","Dynatrace.Observability/registeredSubscriptions/read","Get registered subscriptions","RegisteredSubscriptions","Get registered subscription details","False"
"Dynatrace.Observability","Dynatrace.Observability","Dynatrace.Observability/unregister/action","Unregisters Dynatrace.Observability Resource provider","","Unregisters Dynatrace.Observability Resource provider","False"
"-","GitHub.Enterprise","","** No operations discovered **","","Provider name discovered via Get-AzProviderFeatures","False"
"Domain Services Resource Provider","Microsoft.AAD","Microsoft.AAD/domainServices/delete","Delete Domain Service","Domain Service Type","Delete Domain Service","False"
"Domain Services Resource Provider","Microsoft.AAD","Microsoft.AAD/domainServices/oucontainer/delete","Delete Ou Container","Ou Container Type","Delete Ou Container","False"
"Domain Services Resource Provider","Microsoft.AAD","Microsoft.AAD/domainServices/oucontainer/read","Read Ou Container","Ou Container Type","Read Ou Containers","False"
"Domain Services Resource Provider","Microsoft.AAD","Microsoft.AAD/domainServices/oucontainer/write","Write Ou Container","Ou Container Type","Write Ou Container","False"
"Domain Services Resource Provider","Microsoft.AAD","Microsoft.AAD/domainServices/OutboundNetworkDependenciesEndpoints/read","Get the network endpoints of all outbound dependencies","Domain Service Type","Get the network endpoints of all outbound dependencies","False"
"Domain Services Resource Provider","Microsoft.AAD","Microsoft.AAD/domainServices/read","Read Domain Service","Domain Service Type","Read Domain Services","False"
"Domain Services Resource Provider","Microsoft.AAD","Microsoft.AAD/domainServices/write","Write Domain Service","Domain Service Type","Write Domain Service","False"
"Domain Services Resource Provider","Microsoft.AAD","Microsoft.AAD/locations/operationresults/read","","","","False"
"Domain Services Resource Provider","Microsoft.AAD","Microsoft.AAD/Operations/read","","","","False"
"Domain Services Resource Provider","Microsoft.AAD","Microsoft.AAD/register/action","Register Domain Service","","Register Domain Service","False"
"Domain Services Resource Provider","Microsoft.AAD","Microsoft.AAD/register/action","Subscription Registration Action","","Subscription Registration Action","False"
"Domain Services Resource Provider","Microsoft.AAD","Microsoft.AAD/unregister/action","Unregister Domain Service","","Unregister Domain Service","False"
"Azure Active Directory","microsoft.aadiam","microsoft.aadiam/azureADMetrics/delete","Azure AD Metrics Definition delete","Azure AD Metrics Definition","Delete Azure AD Metrics Definition","False"
"Azure Active Directory","microsoft.aadiam","microsoft.aadiam/azureADMetrics/read","Azure AD Metrics Definition read","Azure AD Metrics Definition","Read Azure AD Metrics Definition","False"
"Azure Active Directory","microsoft.aadiam","microsoft.aadiam/azureADMetrics/write","Azure AD Metrics Definition write","Azure AD Metrics Definition","Create and Update Azure AD Metrics Definition","False"
"Azure Active Directory","microsoft.aadiam","microsoft.aadiam/diagnosticsettings/delete","Diagnostic settings delete","Diagnostic settings","Deleting a diagnostic setting","False"
"Azure Active Directory","microsoft.aadiam","microsoft.aadiam/diagnosticsettings/read","Diagnostic settings read","Diagnostic settings","Reading a diagnostic setting","False"
"Azure Active Directory","microsoft.aadiam","microsoft.aadiam/diagnosticsettings/write","Diagnostic settings write","Diagnostic settings","Writing a diagnostic setting","False"
"Azure Active Directory","microsoft.aadiam","microsoft.aadiam/diagnosticsettingscategories/read","Diagnostic settings categories read","Diagnostic settings categories","Reading a diagnostic setting categories","False"
"Azure Active Directory","microsoft.aadiam","microsoft.aadiam/metricDefinitions/read","Metric Definitions read","Metric Definitions","Reading Tenant-Level Metric Definitions","False"
"Azure Active Directory","microsoft.aadiam","microsoft.aadiam/metrics/read","Metrics read","Metrics","Reading Tenant-Level Metrics","False"
"Azure Active Directory","microsoft.aadiam","microsoft.aadiam/privateLinkForAzureAD/delete","Private Link Policy Definition read","Private Link Policy Definition","Delete Private Link Policy Definition","False"
"Azure Active Directory","microsoft.aadiam","microsoft.aadiam/privateLinkForAzureAD/privateEndpointConnectionProxies/delete","Private Link Proxies read","Private Link Proxies","Delete Private Link Proxies","False"
"Azure Active Directory","microsoft.aadiam","microsoft.aadiam/privateLinkForAzureAD/privateEndpointConnectionProxies/read","Private Link Proxies read","Private Link Proxies","Read Private Link Proxies","False"
"Azure Active Directory","microsoft.aadiam","microsoft.aadiam/privateLinkForAzureAD/privateEndpointConnectionProxies/validate/action","Private Link Proxies validate","Private Link Proxies","Validate Private Link Proxies","False"
"Azure Active Directory","microsoft.aadiam","microsoft.aadiam/privateLinkForAzureAD/privateEndpointConnections/delete","PrivateEndpointConnections read","PrivateEndpointConnections","Delete PrivateEndpointConnections","False"
"Azure Active Directory","microsoft.aadiam","microsoft.aadiam/privateLinkForAzureAD/privateEndpointConnections/read","PrivateEndpointConnections read","PrivateEndpointConnections","Read PrivateEndpointConnections","False"
"Azure Active Directory","microsoft.aadiam","microsoft.aadiam/privateLinkForAzureAD/privateEndpointConnections/write","PrivateEndpointConnections read","PrivateEndpointConnections","Create and Update PrivateEndpointConnections","False"
"Azure Active Directory","microsoft.aadiam","microsoft.aadiam/privateLinkForAzureAD/privateEndpointConnectionsApproval/action","PrivateEndpointConnections approve","Private Link Policy Definition","Approve PrivateEndpointConnections","False"
"Azure Active Directory","microsoft.aadiam","microsoft.aadiam/privateLinkForAzureAD/privateLinkResources/delete","PrivateLinkResources read","PrivateLinkResources","Delete PrivateLinkResources","False"
"Azure Active Directory","microsoft.aadiam","microsoft.aadiam/privateLinkForAzureAD/privateLinkResources/read","PrivateLinkResources read","PrivateLinkResources","Read PrivateLinkResources","False"
"Azure Active Directory","microsoft.aadiam","microsoft.aadiam/privateLinkForAzureAD/privateLinkResources/write","PrivateLinkResources read","PrivateLinkResources","Create and Update PrivateLinkResources","False"
"Azure Active Directory","microsoft.aadiam","microsoft.aadiam/privateLinkForAzureAD/read","Private Link Policy Definition read","Private Link Policy Definition","Read Private Link Policy Definition","False"
"Azure Active Directory","microsoft.aadiam","microsoft.aadiam/privateLinkForAzureAD/write","Private Link Policy Definition read","Private Link Policy Definition","Create and Update Private Link Policy Definition","False"
"Microsoft Addons","Microsoft.Addons","Microsoft.Addons/operations/read","Get RP operations.","operations","Gets supported RP operations.","False"
"Microsoft Addons","Microsoft.Addons","Microsoft.Addons/register/action","Register for Microsoft.Addons","","Register the specified subscription with Microsoft.Addons","False"
"Microsoft Addons","Microsoft.Addons","Microsoft.Addons/supportProviders/listsupportplaninfo/action","List support plan information.","listSupportPlanInfo","Lists current support plan information for the specified subscription.","False"
"Microsoft Addons","Microsoft.Addons","Microsoft.Addons/supportProviders/supportPlanTypes/delete","Removes the Canonical support plan","supportPlanTypes","Removes the specified Canonical support plan","False"
"Microsoft Addons","Microsoft.Addons","Microsoft.Addons/supportProviders/supportPlanTypes/read","Get Canonical support plan state","supportPlanTypes","Get the specified Canonical support plan state.","False"
"Microsoft Addons","Microsoft.Addons","Microsoft.Addons/supportProviders/supportPlanTypes/write","Adds a Canonical support plan.","supportPlanTypes","Adds the Canonical support plan type specified.","False"
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService","Microsoft.ADHybridHealthService/addsservices/action","Create a new forest.","","Create a new forest for the tenant.","False"
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService","Microsoft.ADHybridHealthService/addsservices/addomainservicemembers/read","Gets all servers.","ADDomainService","Gets all servers for the specified service name.","False"
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService","Microsoft.ADHybridHealthService/addsservices/alerts/read","Gets alerts for the forest.","ADDomainService","Gets alerts details for the forest like alertid, alert raised date, alert last detected, alert description, last updated, alert level, alert state, alert troubleshooting links etc. .","False"
