#TYPE AzureOperations
"ProviderNamespace","Operation","OperationName","ResourceName","IsDataAction","Description"
"","",,,,"### NOTE ### 
The data contained herein was gathered on 26-Dec-2021."
"84codes.CloudAMQP","84codes.CloudAMQP/updateCommunicationPreference/action","Update Communication Preferences",,"False","Updates Communication Preferences"
"84codes.CloudAMQP","84codes.CloudAMQP/listCommunicationPreference/action","List Communication Preferences",,"False","Read any Communication Preferences"
"84codes.CloudAMQP","84codes.CloudAMQP/operations/read","Read Operations",,"False","Read any Operation"
"84codes.CloudAMQP","84codes.CloudAMQP/servers/read","Read server",,"False","Read any server"
"84codes.CloudAMQP","84codes.CloudAMQP/servers/write","Create or Update server",,"False","Create or Update any server"
"84codes.CloudAMQP","84codes.CloudAMQP/servers/delete","Delete server",,"False","Deletes any server"
"84codes.CloudAMQP","84codes.CloudAMQP/servers/listSecrets/action","List Secrets",,"False","Read any server Secrets"
"84codes.CloudAMQP","84codes.CloudAMQP/servers/regenerateKeys/action","Regenerate Keys",,"False","Regenerate any server Keys"
"84codes.CloudAMQP","84codes.CloudAMQP/servers/listSingleSignOnToken/action","List Single Sign On Tokens",,"False","Read any server Single Sign On Tokens"
"Domain Services Resource Provider","Microsoft.AAD/register/action","Subscription Registration Action",,"False","Subscription Registration Action"
"Domain Services Resource Provider","Microsoft.AAD/unregister/action","Unregister Domain Service",,"False","Unregister Domain Service"
"Domain Services Resource Provider","Microsoft.AAD/register/action","Register Domain Service",,"False","Register Domain Service"
"Domain Services Resource Provider","Microsoft.AAD/domainServices/read","Read Domain Service",,"False","Read Domain Services"
"Domain Services Resource Provider","Microsoft.AAD/domainServices/write","Write Domain Service",,"False","Write Domain Service"
"Domain Services Resource Provider","Microsoft.AAD/domainServices/delete","Delete Domain Service",,"False","Delete Domain Service"
"Domain Services Resource Provider","Microsoft.AAD/locations/operationresults/read","",,"False",""
"Domain Services Resource Provider","Microsoft.AAD/Operations/read","",,"False",""
"Domain Services Resource Provider","Microsoft.AAD/domainServices/oucontainer/read","Read Ou Container",,"False","Read Ou Containers"
"Domain Services Resource Provider","Microsoft.AAD/domainServices/oucontainer/write","Write Ou Container",,"False","Write Ou Container"
"Domain Services Resource Provider","Microsoft.AAD/domainServices/oucontainer/delete","Delete Ou Container",,"False","Delete Ou Container"
"Domain Services Resource Provider","Microsoft.AAD/domainServices/OutboundNetworkDependenciesEndpoints/read","Get the network endpoints of all outbound dependencies",,"False","Get the network endpoints of all outbound dependencies"
"Azure Active Directory","microsoft.aadiam/diagnosticsettings/write","Diagnostic settings write",,"False","Writing a diagnostic setting"
"Azure Active Directory","microsoft.aadiam/diagnosticsettings/read","Diagnostic settings read",,"False","Reading a diagnostic setting"
"Azure Active Directory","microsoft.aadiam/diagnosticsettings/delete","Diagnostic settings delete",,"False","Deleting a diagnostic setting"
"Azure Active Directory","microsoft.aadiam/diagnosticsettingscategories/read","Diagnostic settings categories read",,"False","Reading a diagnostic setting categories"
"Azure Active Directory","microsoft.aadiam/metrics/read","Metrics read",,"False","Reading Tenant-Level Metrics"
"Azure Active Directory","microsoft.aadiam/metricDefinitions/read","Metric Definitions read",,"False","Reading Tenant-Level Metric Definitions"
"Azure Active Directory","microsoft.aadiam/privateLinkForAzureAD/read","Private Link Policy Definition read",,"False","Read Private Link Policy Definition"
"Azure Active Directory","microsoft.aadiam/privateLinkForAzureAD/write","Private Link Policy Definition read",,"False","Create and Update Private Link Policy Definition"
"Azure Active Directory","microsoft.aadiam/privateLinkForAzureAD/delete","Private Link Policy Definition read",,"False","Delete Private Link Policy Definition"
"Azure Active Directory","microsoft.aadiam/privateLinkForAzureAD/privateEndpointConnectionsApproval/action","PrivateEndpointConnections approve",,"False","Approve PrivateEndpointConnections"
"Azure Active Directory","microsoft.aadiam/privateLinkForAzureAD/privateEndpointConnectionProxies/read","Private Link Proxies read",,"False","Read Private Link Proxies"
"Azure Active Directory","microsoft.aadiam/privateLinkForAzureAD/privateEndpointConnectionProxies/delete","Private Link Proxies read",,"False","Delete Private Link Proxies"
"Azure Active Directory","microsoft.aadiam/privateLinkForAzureAD/privateEndpointConnectionProxies/validate/action","Private Link Proxies validate",,"False","Validate Private Link Proxies"
