ProviderNamespace                                            Operation                                                                                            OperationName                                                                                        IsDataAction
Dynatrace.Observability                                      Dynatrace.Observability/checkNameAvailability/action                                                 Check Name Availability                                                                              False
Dynatrace.Observability                                      Dynatrace.Observability/locations/operationStatuses/read                                             Get operation statuses                                                                               False
Dynatrace.Observability                                      Dynatrace.Observability/locations/operationStatuses/write                                            Write operation statuses                                                                             False
Dynatrace.Observability                                      Dynatrace.Observability/locations/read                                                               Get locations                                                                                        False
Dynatrace.Observability                                      Dynatrace.Observability/monitors/delete                                                              Delete monitor resources                                                                             False
Dynatrace.Observability                                      Dynatrace.Observability/monitors/getSSODetails/action                                                Get SSO Details                                                                                      False
Dynatrace.Observability                                      Dynatrace.Observability/monitors/getVMHostPayload/action                                             Payload for VM Host                                                                                  False
Dynatrace.Observability                                      Dynatrace.Observability/monitors/listAppServices/action                                              List App services                                                                                    False
Dynatrace.Observability                                      Dynatrace.Observability/monitors/listHosts/action                                                    List VM Hosts                                                                                        False
Dynatrace.Observability                                      Dynatrace.Observability/monitors/listLinkableEnvironments/action                                     Lists Linkable Environment                                                                           False
Dynatrace.Observability                                      Dynatrace.Observability/monitors/listMonitoredResources/action                                       List monitored resources                                                                             False
Dynatrace.Observability                                      Dynatrace.Observability/monitors/read                                                                Get/List monitor resources                                                                           False
Dynatrace.Observability                                      Dynatrace.Observability/monitors/singleSignOnConfigurations/read                                     Get the single sign-on configurations resource                                                       False
Dynatrace.Observability                                      Dynatrace.Observability/monitors/singleSignOnConfigurations/write                                    Create/Update single sign-on configurations resource                                                 False
Dynatrace.Observability                                      Dynatrace.Observability/monitors/tagRules/read                                                       Get tag rules resource                                                                               False
Dynatrace.Observability                                      Dynatrace.Observability/monitors/tagRules/write                                                      Create/Update tag rules resource                                                                     False
Dynatrace.Observability                                      Dynatrace.Observability/monitors/write                                                               Create/Update monitor resources                                                                      False
Dynatrace.Observability                                      Dynatrace.Observability/operations/read                                                              List available Operations in Dynatrace.Observability                                                 False
Dynatrace.Observability                                      Dynatrace.Observability/register/action                                                              Registers Dynatrace.Observability Resource provider                                                  False
Dynatrace.Observability                                      Dynatrace.Observability/registeredSubscriptions/read                                                 Get registered subscriptions                                                                         False
Dynatrace.Observability                                      Dynatrace.Observability/unregister/action                                                            Unregisters Dynatrace.Observability Resource provider                                                False
Domain Services Resource Provider                            Microsoft.AAD/domainServices/delete                                                                  Delete Domain Service                                                                                False
Domain Services Resource Provider                            Microsoft.AAD/domainServices/oucontainer/delete                                                      Delete Ou Container                                                                                  False
Domain Services Resource Provider                            Microsoft.AAD/domainServices/oucontainer/read                                                        Read Ou Container                                                                                    False
Domain Services Resource Provider                            Microsoft.AAD/domainServices/oucontainer/write                                                       Write Ou Container                                                                                   False
Domain Services Resource Provider                            Microsoft.AAD/domainServices/OutboundNetworkDependenciesEndpoints/read                               Get the network endpoints of all outbound dependencies                                               False
Domain Services Resource Provider                            Microsoft.AAD/domainServices/read                                                                    Read Domain Service                                                                                  False
Domain Services Resource Provider                            Microsoft.AAD/domainServices/write                                                                   Write Domain Service                                                                                 False
Domain Services Resource Provider                            Microsoft.AAD/locations/operationresults/read                                                                                                                                                             False
Domain Services Resource Provider                            Microsoft.AAD/Operations/read                                                                                                                                                                             False
Domain Services Resource Provider                            Microsoft.AAD/register/action                                                                        Register Domain Service                                                                              False
Domain Services Resource Provider                            Microsoft.AAD/register/action                                                                        Subscription Registration Action                                                                     False
Domain Services Resource Provider                            Microsoft.AAD/unregister/action                                                                      Unregister Domain Service                                                                            False
Azure Active Directory                                       microsoft.aadiam/azureADMetrics/delete                                                               Azure AD Metrics Definition delete                                                                   False
Azure Active Directory                                       microsoft.aadiam/azureADMetrics/read                                                                 Azure AD Metrics Definition read                                                                     False
Azure Active Directory                                       microsoft.aadiam/azureADMetrics/write                                                                Azure AD Metrics Definition write                                                                    False
Azure Active Directory                                       microsoft.aadiam/diagnosticsettings/delete                                                           Diagnostic settings delete                                                                           False
Azure Active Directory                                       microsoft.aadiam/diagnosticsettings/read                                                             Diagnostic settings read                                                                             False
Azure Active Directory                                       microsoft.aadiam/diagnosticsettings/write                                                            Diagnostic settings write                                                                            False
Azure Active Directory                                       microsoft.aadiam/diagnosticsettingscategories/read                                                   Diagnostic settings categories read                                                                  False
Azure Active Directory                                       microsoft.aadiam/metricDefinitions/read                                                              Metric Definitions read                                                                              False
Azure Active Directory                                       microsoft.aadiam/metrics/read                                                                        Metrics read                                                                                         False
Azure Active Directory                                       microsoft.aadiam/privateLinkForAzureAD/delete                                                        Private Link Policy Definition read                                                                  False
Azure Active Directory                                       microsoft.aadiam/privateLinkForAzureAD/privateEndpointConnectionProxies/delete                       Private Link Proxies read                                                                            False
Azure Active Directory                                       microsoft.aadiam/privateLinkForAzureAD/privateEndpointConnectionProxies/read                         Private Link Proxies read                                                                            False
Azure Active Directory                                       microsoft.aadiam/privateLinkForAzureAD/privateEndpointConnectionProxies/validate/action              Private Link Proxies validate                                                                        False
Azure Active Directory                                       microsoft.aadiam/privateLinkForAzureAD/privateEndpointConnections/delete                             PrivateEndpointConnections read                                                                      False
Azure Active Directory                                       microsoft.aadiam/privateLinkForAzureAD/privateEndpointConnections/read                               PrivateEndpointConnections read                                                                      False
Azure Active Directory                                       microsoft.aadiam/privateLinkForAzureAD/privateEndpointConnections/write                              PrivateEndpointConnections read                                                                      False
Azure Active Directory                                       microsoft.aadiam/privateLinkForAzureAD/privateEndpointConnectionsApproval/action                     PrivateEndpointConnections approve                                                                   False
Azure Active Directory                                       microsoft.aadiam/privateLinkForAzureAD/privateLinkResources/delete                                   PrivateLinkResources read                                                                            False
Azure Active Directory                                       microsoft.aadiam/privateLinkForAzureAD/privateLinkResources/read                                     PrivateLinkResources read                                                                            False
Azure Active Directory                                       microsoft.aadiam/privateLinkForAzureAD/privateLinkResources/write                                    PrivateLinkResources read                                                                            False
Azure Active Directory                                       microsoft.aadiam/privateLinkForAzureAD/read                                                          Private Link Policy Definition read                                                                  False
Azure Active Directory                                       microsoft.aadiam/privateLinkForAzureAD/write                                                         Private Link Policy Definition read                                                                  False
Microsoft Addons                                             Microsoft.Addons/operations/read                                                                     Get RP operations.                                                                                   False
Microsoft Addons                                             Microsoft.Addons/register/action                                                                     Register for Microsoft.Addons                                                                        False
Microsoft Addons                                             Microsoft.Addons/supportProviders/listsupportplaninfo/action                                         List support plan information.                                                                       False
Microsoft Addons                                             Microsoft.Addons/supportProviders/supportPlanTypes/delete                                            Removes the Canonical support plan                                                                   False
Microsoft Addons                                             Microsoft.Addons/supportProviders/supportPlanTypes/read                                              Get Canonical support plan state                                                                     False
Microsoft Addons                                             Microsoft.Addons/supportProviders/supportPlanTypes/write                                             Adds a Canonical support plan.                                                                       False
Microsoft ADHybridHealthService                              Microsoft.ADHybridHealthService/addsservices/action                                                  Create a new forest.                                                                                 False
Microsoft ADHybridHealthService                              Microsoft.ADHybridHealthService/addsservices/addomainservicemembers/read                             Gets all servers.                                                                                    False
Microsoft ADHybridHealthService                              Microsoft.ADHybridHealthService/addsservices/alerts/read                                             Gets alerts for the forest.                                                                          False
Microsoft ADHybridHealthService                              Microsoft.ADHybridHealthService/addsservices/configuration/read                                      Gets Service Configuration for the forest.                                                           False
Microsoft ADHybridHealthService                              Microsoft.ADHybridHealthService/addsservices/delete                                                  Deletes a Service.                                                                                   False
Microsoft ADHybridHealthService                              Microsoft.ADHybridHealthService/addsservices/dimensions/read                                         Gets the domains and sites details for the forest.                                                   False
Microsoft ADHybridHealthService                              Microsoft.ADHybridHealthService/addsservices/features/userpreference/read                            Gets the user preference setting.                                                                    False
Microsoft ADHybridHealthService                              Microsoft.ADHybridHealthService/addsservices/forestsummary/read                                      Gets forest summary.                                                                                 False
Microsoft ADHybridHealthService                              Microsoft.ADHybridHealthService/addsservices/metricmetadata/read                                     Gets the list of supported metrics for a given service.                                              False
Microsoft ADHybridHealthService                              Microsoft.ADHybridHealthService/addsservices/metrics/groups/read                                     Gets information about different service metrics.                                                    False
