#TYPE Selected.Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSProviderFeature
"ProviderNameSpace","ProviderName","FeatureName","RegistrationState"
"Microsoft Network","Microsoft.Network","EnablePeregrinePrivateLinkServiceOptimizationInAllRegions","NotRegistered"
"Microsoft Network","Microsoft.Network","AllowSetDefaultOutboundAccessOnSubnet","NotRegistered"
"Microsoft.HybridContainerService","Microsoft.HybridContainerService","hiddenPreviewAccess","NotRegistered"
"Microsoft Compute","Microsoft.Compute","SIGEdgeZonePublishingInAllEdgeZone","NotRegistered"
"Microsoft Event Grid","Microsoft.eventgrid","Oct2021Features","NotRegistered"
"Microsoft DB for PostgreSQL","Microsoft.DBForPostgreSQL","showPG14","NotRegistered"
"Microsoft DB for MySQL","Microsoft.DBForMySQL","replicaAvailabilityZone","NotRegistered"
"Microsoft Security Insights","microsoft.securityinsights","strictActionsThrottlingLimits","NotRegistered"
"Microsoft Security Insights","microsoft.securityinsights","strictIncidentsThrottlingLimits","NotRegistered"
"Microsoft Event Grid","Microsoft.eventgrid","Oct2021FeaturesV2","NotRegistered"
"Microsoft DB for MySQL","Microsoft.DBForMySQL","enableWorkbooks","NotRegistered"
"Microsoft.Cdn","Microsoft.Cdn","BypassAuthoritativeDnsQueryForCNameCheck","NotRegistered"
"Microsoft.RecoveryServices","Microsoft.RecoveryServices","MultipleBackupsPerDay","NotRegistered"
"Microsoft.RecoveryServices","Microsoft.RecoveryServices","TrustedVMBackup","NotRegistered"
"-","Microsoft.Graph","PrivatePreviewAccess","NotRegistered"
"Microsoft DB for MariaDB","Microsoft.DBForMariaDB","orcasconfignopdl","NotRegistered"
"Microsoft DB for MySQL","Microsoft.DBForMySQL","storageAutoGrowth","NotRegistered"
"Microsoft DB for MySQL","Microsoft.DBForMySQL","stopStateMaximumExtend","NotRegistered"
"Microsoft DB for MySQL","Microsoft.DBForMySQL","showDiagnoseAndSolveBlade","NotRegistered"
"Microsoft DB for PostgreSQL","Microsoft.DBForPostgreSQL","showDiagnoseAndSolveBlade","NotRegistered"
"Microsoft DB for PostgreSQL","Microsoft.DBForPostgreSQL","showAdvisorRecommendations","NotRegistered"
"Microsoft DB for PostgreSQL","Microsoft.DBForPostgreSQL","marlinPrivateLink","NotRegistered"
"Microsoft Container Service","microsoft.ContainerService","EnablePrivateClusterSubZone","NotRegistered"
"Microsoft.NetApp Resource Provider","Microsoft.NetApp","ANFDisableShowmount","NotRegistered"
"Microsoft Network","Microsoft.Network","AllowCloudServiceMove","NotRegistered"
"Microsoft DocumentDB","Microsoft.DocumentDB","AnalyticalStoreMigration","NotRegistered"
"Microsoft.HybridConnectivity","Microsoft.HybridConnectivity","hiddenPreviewAccess","NotRegistered"
"Microsoft Container Service","microsoft.ContainerService","AKSWindowsGmsaPreview","NotRegistered"
"Microsoft Cognitive Services","Microsoft.CognitiveServices","ComputerVision.CelebrityRecognition","NotRegistered"
"Microsoft Compute","Microsoft.Compute","SIGTrustedLaunchVM","NotRegistered"
"Microsoft Network","Microsoft.Network","AFWEnablePreviewFeatures","NotRegistered"
"Microsoft Network","Microsoft.Network","AFWEnableAccelnet","NotRegistered"
"Microsoft Network","Microsoft.Network","AFWEnableNetworkRuleNameLogging","NotRegistered"
"Microsoft Network","Microsoft.Network","AFWEnablePerformanceOptimization","NotRegistered"
"Microsoft Azure Stream Analytics","Microsoft.StreamAnalytics","LargeSUJob","NotRegistered"
"Microsoft Azure Stream Analytics","Microsoft.StreamAnalytics","LargeSUDedicatedCluster","NotRegistered"
"Microsoft.DevAI","Microsoft.DevAI","Dev","NotRegistered"
"Microsoft.DevAI","Microsoft.DevAI","PPE","NotRegistered"
"Microsoft Container Service","microsoft.ContainerService","AKS-EnableDualStack","NotRegistered"
"Microsoft Compute","Microsoft.Compute","FailureRecoveryViaReprovisioning","NotRegistered"
"Microsoft Logic","microsoft.logic","AllowAppServiceRuntime","NotRegistered"
