ProviderNamespace                                        ProviderName                             FeatureName
=================                                        ============                             ===========
Microsoft DB for MySQL                                   Microsoft.DBforMySQL                     enableondemandbackupnewapi_southafricanorth
Microsoft DB for MySQL                                   Microsoft.DBforMySQL                     enableondemandbackupnewapi_uaecentral
Microsoft DB for MySQL                                   Microsoft.DBforMySQL                     enableondemandbackupnewapi_uaenorth
Microsoft Network                                        Microsoft.Network                        EnablePeregrinePrivateLinkServiceOptimizationInAllRegions
Microsoft Network                                        Microsoft.Network                        AllowSetDefaultOutboundAccessOnSubnet
Microsoft.HybridContainerService                         Microsoft.HybridContainerService         hiddenPreviewAccess
Microsoft Compute                                        Microsoft.Compute                        SIGEdgeZonePublishingInAllEdgeZone
Microsoft Event Grid                                     Microsoft.eventgrid                      Oct2021Features
Microsoft DB for PostgreSQL                              Microsoft.DBForPostgreSQL                showPG14
Microsoft DB for MySQL                                   Microsoft.DBForMySQL                     replicaAvailabilityZone
Microsoft Security Insights                              microsoft.securityinsights               strictActionsThrottlingLimits
Microsoft Security Insights                              microsoft.securityinsights               strictIncidentsThrottlingLimits
Microsoft Event Grid                                     Microsoft.eventgrid                      Oct2021FeaturesV2
Microsoft DB for MySQL                                   Microsoft.DBForMySQL                     enableWorkbooks
Microsoft.Cdn                                            Microsoft.Cdn                            BypassAuthoritativeDnsQueryForCNameCheck
Microsoft.RecoveryServices                               Microsoft.RecoveryServices               MultipleBackupsPerDay
Microsoft.RecoveryServices                               Microsoft.RecoveryServices               TrustedVMBackup
-                                                        Microsoft.Graph                          PrivatePreviewAccess
Microsoft DB for MariaDB                                 Microsoft.DBForMariaDB                   orcasconfignopdl
Microsoft DB for MySQL                                   Microsoft.DBForMySQL                     storageAutoGrowth
Microsoft DB for MySQL                                   Microsoft.DBForMySQL                     stopStateMaximumExtend
Microsoft DB for MySQL                                   Microsoft.DBForMySQL                     showDiagnoseAndSolveBlade
Microsoft DB for PostgreSQL                              Microsoft.DBForPostgreSQL                showDiagnoseAndSolveBlade
Microsoft DB for PostgreSQL                              Microsoft.DBForPostgreSQL                showAdvisorRecommendations
Microsoft DB for PostgreSQL                              Microsoft.DBForPostgreSQL                marlinPrivateLink
Microsoft Container Service                              microsoft.ContainerService               EnablePrivateClusterSubZone
Microsoft.NetApp Resource Provider                       Microsoft.NetApp                         ANFDisableShowmount
Microsoft Network                                        Microsoft.Network                        AllowCloudServiceMove
Microsoft DocumentDB                                     Microsoft.DocumentDB                     AnalyticalStoreMigration
Microsoft.HybridConnectivity                             Microsoft.HybridConnectivity             hiddenPreviewAccess
Microsoft Container Service                              microsoft.ContainerService               AKSWindowsGmsaPreview
Microsoft Cognitive Services                             Microsoft.CognitiveServices              ComputerVision.CelebrityRecognition
Microsoft Compute                                        Microsoft.Compute                        SIGTrustedLaunchVM
Microsoft Network                                        Microsoft.Network                        AFWEnablePreviewFeatures
Microsoft Network                                        Microsoft.Network                        AFWEnableAccelnet
Microsoft Network                                        Microsoft.Network                        AFWEnableNetworkRuleNameLogging
Microsoft Network                                        Microsoft.Network                        AFWEnablePerformanceOptimization
Microsoft Azure Stream Analytics                         Microsoft.StreamAnalytics                LargeSUJob
Microsoft Azure Stream Analytics                         Microsoft.StreamAnalytics                LargeSUDedicatedCluster
-                                                        Microsoft.DevAI                          Dev
-                                                        Microsoft.DevAI                          PPE
Microsoft Container Service                              microsoft.ContainerService               AKS-EnableDualStack
Microsoft Compute                                        Microsoft.Compute                        FailureRecoveryViaReprovisioning
Microsoft Logic                                          microsoft.logic                          AllowAppServiceRuntime
Microsoft DB for MySQL                                   Microsoft.DBForMySQL                     flexibleServerGeoRestore
Microsoft DB for MySQL                                   Microsoft.DBForMySQL                     flexibleServerBcdrNetworking
Microsoft Network                                        Microsoft.Network                        AllowValidateVmssTargettedTenantNicReadOptimization
Microsoft Cognitive Services                             Microsoft.CognitiveServices              CommitmentTier123
Microsoft Cognitive Services                             Microsoft.CognitiveServices              CommitmentTier4-STT
Microsoft Cognitive Services                             Microsoft.CognitiveServices              CommitmentTier4-NTTS
Microsoft Cognitive Services                             Microsoft.CognitiveServices              CommitmentTier4-FormRecognizer
Microsoft Cognitive Services                             Microsoft.CognitiveServices              CommitmentTier4-CVRead
Microsoft Cognitive Services                             Microsoft.CognitiveServices              CommitmentTier4-LUIS
Microsoft Cognitive Services                             Microsoft.CognitiveServices              CommitmentTier4-TA
Microsoft Cognitive Services                             Microsoft.CognitiveServices              CommitmentTier4-Translator
Microsoft Storage                                        Microsoft.Storage                        CustomerInitiatedMigration
Microsoft.NetApp Resource Provider                       Microsoft.NetApp                         ANFCrossZoneReplication
Microsoft.HybridNetwork                                  Microsoft.HybridNetwork                  Routing-SecondaryCanaryCentralEUAP
Microsoft.HybridNetwork                                  Microsoft.HybridNetwork                  Routing-SecondaryCanaryEastUS2EUAP
Microsoft.DeviceUpdate                                   Microsoft.DeviceUpdate                   EnablePrivateEndpoint
Microsoft DB for MySQL                                   Microsoft.DBForMySQL                     fastestRestorePoint
Microsoft DB for MySQL                                   Microsoft.DBForMySQL                     flexibleServerDeleteBlade
Microsoft DB for PostgreSQL                              Microsoft.DBForPostgreSQL                flexibleServerDeleteBlade
Microsoft Azure Stream Analytics                         Microsoft.StreamAnalytics                PreferEventHubMultiSender
Microsoft Container Service                              microsoft.ContainerService               EnableNamespaceResourcesPreview
Microsoft Storage                                        Microsoft.Storage                        DataMoverPreviewAccess
Microsoft Network                                        Microsoft.Network                        AllowRsVmssMigration
Microsoft.OpenEnergyPlatform                             Microsoft.OpenEnergyPlatform             OEPPrivatePreviewAccess
Machine Learning Services Resource Provider              Microsoft.MachineLearningServices        mastertestsfeature
Microsoft Network                                        Microsoft.Network                        AllowApplicationGatewayTlsProxy
Microsoft DB for PostgreSQL                              Microsoft.DBForPostgreSQL                flexibleServerGeoRestore
Microsoft Storage                                        Microsoft.Storage                        PremiumFilesPaidBursting
Microsoft DB for PostgreSQL                              Microsoft.DBForPostgreSQL                flexibleServerBcdrNetworking
Microsoft Network                                        Microsoft.Network                        DisableForceAccelNetForOvlVms
Microsoft DB for PostgreSQL                              Microsoft.DBForPostgreSQL                citusDeleteBlade
Microsoft DB for PostgreSQL                              Microsoft.DBforPostgreSQL                marlinisallowedwcus
Microsoft.NetApp Resource Provider                       Microsoft.NetApp                         ANFSingleFileBackupRestore
Azure Data Box                                           Microsoft.DataBox                        EnableCustomerDiskSku_India
Microsoft Databricks                                     Microsoft.Databricks                     EnableServiceFabricRP
Microsoft Network                                        Microsoft.Network                        AzureFirewallBasic
Microsoft.ServiceLinker                                  microsoft.servicelinker                  Dogfood
Microsoft.RecoveryServices                               Microsoft.RecoveryServices               SAPHANAHSR
NGINX.NGINXPLUS                                          NGINX.NGINXPLUS                          prodAccess
Microsoft Storage                                        Microsoft.Storage                        PremiumToHotTiering
Microsoft Compute                                        Microsoft.Compute                        UsePreprovisionedVMsForConfidentialVMs
Microsoft Network                                        Microsoft.Network                        AuxiliaryAttachedModeEnabled
Microsoft Compute                                        Microsoft.Compute                        G8LMLIDedicatedHost
Microsoft Kubernetes Configuration                       Microsoft.KubernetesConfiguration        Namespaces
Microsoft Security                                       Microsoft.Security                       Governance
Microsoft.Dashboard                                      Microsoft.Dashboard                      InternalRegions
Microsoft Network                                        Microsoft.Network                        vWANNFVRPMigrationSEC
Microsoft Network                                        Microsoft.Network                        vWANNFVRPMigrationSES
Microsoft Network                                        Microsoft.Network                        AllowPrivateEndpointCustomNicName
Microsoft Network                                        Microsoft.Network                        VNetEncryptionCustomerManagedCert
Microsoft Portal                                         Microsoft.Portal                         extensionspreview
Microsoft.EdgeZones                                      Microsoft.EdgeZones                      canary
