#TYPE AzureService
"ProviderNamespace","ProviderName","Description"
"","Microsoft.SqlVirtualMachine",""
"84codes.CloudAMQP","84codes.CloudAMQP",""
"Azure Active Directory","microsoft.aadiam",""
"Azure Communication Services","Microsoft.Communication",""
"Azure Data Box","Microsoft.DataBox",""
"Azure Digital Twins","Microsoft.DigitalTwins",""
"Azure IoT Central","Microsoft.IoTCentral",""
"Azure Log Analytics","Microsoft.OperationalInsights",""
"Azure Red Hat OpenShift","Microsoft.RedHatOpenShift",""
"Azure Stack Resource Provider","Microsoft.AzureStack",""
"Azure Synapse Analytics (workspaces)","Microsoft.Synapse",""
"Bing Search","Microsoft.Bing",""
"Bot Service Resource Provider","Microsoft.BotService",""
"D365CustomerInsights","Microsoft.D365CustomerInsights",""
"Domain Services Resource Provider","Microsoft.AAD",""
"Dynatrace.Observability","Dynatrace.Observability",""
"Edge Ordering","Microsoft.EdgeOrder",""
"Experimentation Resource Provider","Microsoft.Experimentation",""
"Machine Learning Services Resource Provider","Microsoft.MachineLearningServices",""
"Microsoft","Microsoft.SaaS",""
"Microsoft Addons","Microsoft.Addons",""
"Microsoft ADHybridHealthService","Microsoft.ADHybridHealthService",""
"Microsoft Advisor","Microsoft.Advisor",""
"Microsoft AgFoodPlatform","Microsoft.AgFoodPlatform",""
"Microsoft Analysis Services","Microsoft.AnalysisServices",""
"Microsoft AnyBuild","Microsoft.AnyBuild",""
"Microsoft API Management","Microsoft.ApiManagement",""
"Microsoft App Configuration","Microsoft.AppConfiguration",""
"Microsoft Authorization","Microsoft.Authorization",""
"Microsoft Automation","Microsoft.Automation",""
"Microsoft Autonomous Development Platform","Microsoft.AutonomousDevelopmentPlatform",""
"Microsoft Azure Active Directory","Microsoft.AzureActiveDirectory",""
"Microsoft Azure Attestation","Microsoft.Attestation",""
"Microsoft Azure Data","Microsoft.AzureData",""
"Microsoft Azure EventHub","Microsoft.EventHub",""
"Microsoft Azure HPC Cache","Microsoft.StorageCache",""
"Microsoft Azure Lab Services","Microsoft.LabServices",""
"Microsoft Azure Monitor","Microsoft.Insights",""
"Microsoft Azure Notification Hub","Microsoft.NotificationHubs",""
"Microsoft Azure Relay","Microsoft.Relay",""
"Microsoft Azure ServiceBus","Microsoft.ServiceBus",""
"Microsoft Azure Spring Cloud","Microsoft.AppPlatform",""
"Microsoft Azure Stream Analytics","Microsoft.StreamAnalytics",""
"Microsoft BareMetal Infrastructure","Microsoft.BareMetalInfrastructure",""
"Microsoft Batch","Microsoft.Batch",""
"Microsoft Billing","Microsoft.Billing",""
"Microsoft BillingBenefits","Microsoft.BillingBenefits",""
"Microsoft Blockchain","Microsoft.Blockchain",""
"Microsoft Blueprint","Microsoft.Blueprint",""
"Microsoft Cache","Microsoft.Cache",""
"Microsoft Capacity","Microsoft.Capacity",""
"Microsoft Certificates","Microsoft.CertificateRegistration",""
"Microsoft Change Analysis","Microsoft.ChangeAnalysis",""
"Microsoft Chaos","Microsoft.Chaos",""
"Microsoft ClassicCompute","Microsoft.ClassicCompute",""
"Microsoft ClassicNetwork","Microsoft.ClassicNetwork",""
"Microsoft ClassicStorage","Microsoft.ClassicStorage",""
"Microsoft CloudTest","Microsoft.CloudTest",""
"Microsoft Cognitive Services","Microsoft.CognitiveServices",""
"Microsoft Commerce","Microsoft.Commerce",""
"Microsoft Compute","Microsoft.Compute",""
"Microsoft Connected Vehicle Platform","Microsoft.ConnectedVehicle",""
"Microsoft Container Instance","Microsoft.ContainerInstance",""
"Microsoft Container Service","Microsoft.ContainerService",""
"Microsoft ContainerRegistry","Microsoft.ContainerRegistry",""
"Microsoft Custom Providers","Microsoft.CustomProviders",""
"Microsoft Customer Lockbox","Microsoft.CustomerLockbox",""
"Microsoft Data Catalog","Microsoft.DataCatalog",""
"Microsoft Data Collaboration","Microsoft.DataCollaboration",""
"Microsoft Data Factory","Microsoft.DataFactory",""
"Microsoft Data Share","Microsoft.DataShare",""
"Microsoft Databricks","Microsoft.Databricks",""
"Microsoft DataLakeAnalytics","Microsoft.DataLakeAnalytics",""
"Microsoft DataLakeStore","Microsoft.DataLakeStore",""
"Microsoft DB for MariaDB","Microsoft.DBforMariaDB",""
"Microsoft DB for MySQL","Microsoft.DBforMySQL",""
"Microsoft DB for PostgreSQL","Microsoft.DBforPostgreSQL",""
"Microsoft Delegated Network Service","Microsoft.DelegatedNetwork",""
"Microsoft Devices","Microsoft.Devices",""
"Microsoft DevTest Labs","Microsoft.DevTestLab",""
"Microsoft DocumentDB","Microsoft.DocumentDB",""
"Microsoft Domains","Microsoft.DomainRegistration",""
"Microsoft EnterpriseGraph","Microsoft.EnterpriseKnowledgeGraph",""
"Microsoft Event Grid","Microsoft.EventGrid",""
"Microsoft Feature","Microsoft.Features",""
"Microsoft Guest Configuration","Microsoft.GuestConfiguration",""
"Microsoft Hardware Security Modules","Microsoft.HardwareSecurityModules",""
"Microsoft HybridCompute","Microsoft.HybridCompute",""
"Microsoft Import/Export","Microsoft.ImportExport",""
"Microsoft IoT Security","Microsoft.IoTSecurity",""
"Microsoft Key Vault","Microsoft.KeyVault",""
"Microsoft Kubernetes Configuration","Microsoft.KubernetesConfiguration",""
"Microsoft Logic","Microsoft.Logic",""
"Microsoft Machine Learning Web Services Management","Microsoft.MachineLearning",""
"Microsoft Managed Identity","Microsoft.ManagedIdentity",""
"Microsoft Managed Services","Microsoft.ManagedServices",""
"Microsoft Management","Microsoft.Management",""
"Microsoft Marketplace","Microsoft.Marketplace",""
"Microsoft Marketplace Apps","Microsoft.MarketplaceApps",""
"Microsoft Marketplace Ordering","Microsoft.MarketplaceOrdering",""
"Microsoft Media Services","Microsoft.Media",""
"Microsoft Monitoring Insights","Microsoft.SecurityGraph",""
"Microsoft Network","Microsoft.Network",""
"Microsoft Operations Management","Microsoft.OperationsManagement",""
"Microsoft Policy Insights","Microsoft.PolicyInsights",""
"Microsoft Portal","Microsoft.Portal",""
"Microsoft Power BI Dedicated","Microsoft.PowerBIDedicated",""
"Microsoft Power Platform","Microsoft.PowerPlatform",""
"Microsoft Project Babylon","Microsoft.ProjectBabylon",""
"Microsoft Purview","Microsoft.Purview",""
"Microsoft Resource Graph","Microsoft.ResourceGraph",""
"Microsoft ResourceConnector","Microsoft.ResourceConnector",""
"Microsoft ResourceHealth","Microsoft.ResourceHealth",""
"Microsoft Resources","Microsoft.Resources",""
"Microsoft SAP HANA on Azure","Microsoft.HanaOnAzure",""
"Microsoft Scheduler","Microsoft.Scheduler",""
"Microsoft Search","Microsoft.Search",""
"Microsoft Security","Microsoft.Security",""
"Microsoft Security Insights","Microsoft.SecurityInsights",""
"Microsoft SecurityDetonationChamber","Microsoft.SecurityDetonation",""
"Microsoft ServiceFabric","Microsoft.ServiceFabric",""
"Microsoft Solutions","Microsoft.Solutions",""
"Microsoft SQL Database","Microsoft.Sql",""
"Microsoft Storage","Microsoft.Storage",""
"Microsoft Storage Pool","Microsoft.StoragePool",""
"Microsoft StorSimple Device Manager","Microsoft.StorSimple",""
"Microsoft Subscription","Microsoft.Subscription",""
"Microsoft Support","Microsoft.Support",""
